"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","lad_code","lad_name","version","level_methodology","establishment_type","t_schools","t_pupils","t_att8","avg_att8","t_entbasics","pt_entbasics","t_l2basics_95","pt_l2basics_95","t_l2basics_94","pt_l2basics_94","t_ebacc_e_ptq_ee","pt_ebacc_e_ptq_ee","t_ebacc_95","pt_ebacc_95","t_ebacc_94","pt_ebacc_94","t_ebaccaps","avg_ebaccaps","t_inp8calc","t_p8score","avg_p8score","p8score_ci_low","p8score_ci_upp"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000002","Barking and Dagenham","Revised","Pupil residency","State-funded schools (LA)",144,3424,166722.25,48.7,3325,97.1,1718,50.2,2292,66.9,1609,47,639,18.7,925,27,14656.75,4.28,3184,742.052,"0.23","0.18","0.28"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000003","Barnet","Revised","Pupil residency","State-funded schools (LA)",135,4013,225039.25,56.1,3885,96.8,2623,65.4,3187,79.4,2331,58.1,1298,32.3,1691,42.1,20679.9,5.15,3529,2247.56,"0.64","0.59","0.68"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000004","Bexley","Revised","Pupil residency","State-funded schools (LA)",103,3112,153437.25,49.3,3019,97,1620,52.1,2187,70.3,1341,43.1,719,23.1,957,30.8,13615.6,4.38,2948,-51.361,"-0.02","-0.07","0.03"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000005","Brent","Revised","Pupil residency","State-funded schools (LA)",147,3751,187538.75,50,3652,97.4,1893,50.5,2521,67.2,2369,63.2,1019,27.2,1379,36.8,17304.32,4.61,3243,1684.471,"0.52","0.47","0.57"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000006","Bromley","Revised","Pupil residency","State-funded schools (LA)",143,3522,182002,51.7,3397,96.5,1983,56.3,2578,73.2,2120,60.2,1073,30.5,1457,41.4,16744.7,4.75,3295,130.453,"0.04","-0.01","0.09"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000007","Camden","Revised","Pupil residency","State-funded schools (LA)",96,1447,70299.25,48.6,1375,95,760,52.5,1005,69.5,781,54,303,20.9,439,30.3,6355.53,4.39,1336,8.341,"0.01","-0.07","0.08"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000008","Croydon","Revised","Pupil residency","State-funded schools (LA)",177,4557,217684.77,47.8,4370,95.9,2175,47.7,3041,66.7,2257,49.5,909,19.9,1311,28.8,19543.93,4.29,4189,222.93,"0.05","0.01","0.1"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000009","Ealing","Revised","Pupil residency","State-funded schools (LA)",145,3966,210029.25,53,3840,96.8,2319,58.5,2972,74.9,2414,60.9,1238,31.2,1623,40.9,19323.44,4.87,3535,2240.709,"0.63","0.59","0.68"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000010","Enfield","Revised","Pupil residency","State-funded schools (LA)",142,4436,210378.16,47.4,4275,96.4,2175,49,2971,67,2532,57.1,909,20.5,1327,29.9,19183.8,4.32,4121,1024.602,"0.25","0.21","0.29"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000011","Greenwich","Revised","Pupil residency","State-funded schools (LA)",118,3134,151195.88,48.2,3020,96.4,1561,49.8,2103,67.1,1445,46.1,672,21.4,932,29.7,13408.92,4.28,2852,-93.056,"-0.03","-0.08","0.02"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000012","Hackney","Revised","Pupil residency","State-funded schools (LA)",112,2453,124396.77,50.7,2366,96.5,1282,52.3,1736,70.8,1563,63.7,702,28.6,946,38.6,11424.39,4.66,2236,569.304,"0.25","0.2","0.31"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000013","Hammersmith and Fulham","Revised","Pupil residency","State-funded schools (LA)",78,1173,62100.5,52.9,1122,95.7,677,57.7,874,74.5,711,60.6,348,29.7,463,39.5,5653.97,4.82,1038,325.785,"0.31","0.23","0.4"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000014","Haringey","Revised","Pupil residency","State-funded schools (LA)",125,2696,131540.28,48.8,2606,96.7,1291,47.9,1791,66.4,1345,49.9,579,21.5,783,29,11881.2,4.41,2376,603.485,"0.25","0.2","0.31"
