"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","test_year","number_pupils","percentage"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Religious Studies","Total",224464,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Religious Studies","Final year",203916,"90.8"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Religious Studies","Penultimate year",20347,"9.1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Social Studies","Total",67433,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Social Studies","Final year",62747,"93.1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Social Studies","Penultimate year",4568,"6.8"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Spanish","Total",120062,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Spanish","Final year",117247,"97.7"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Spanish","Penultimate year",1700,"1.4"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Statistics","Total",25637,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Statistics","Final year",17241,"67.3"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Statistics","Penultimate year",8263,"32.2"
