"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","grade","number_achieving"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","8","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","9","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","Covid impacted","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","Total exam entries","130"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","U","7"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","X","10"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","1","9"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","2","18"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","3","11"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","4","14"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","5","9"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","6","5"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","7","5"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","8","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","9","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","Covid impacted","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","Total exam entries","96"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","U","10"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Chemistry","X","13"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","1","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","11","118"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","2","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","21","132"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","22","138"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","3","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","32","126"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","33","93"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","4","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","43","86"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","44","62"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","5","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","54","38"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","55","45"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","6","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","65","9"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","66","9"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","7","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","76","10"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","77","9"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","8","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","87","10"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","88","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","9","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","98","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","99","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","Covid impacted","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","Total exam entries","1194"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","U","152"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Combined Science","X","146"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","1","5"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","2","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","3","3"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","4","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","5","3"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","6","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","7","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","8","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","9","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","Covid impacted","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","Total exam entries","37"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","U","12"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Computer Science","X","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","1","12"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","2","12"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","3","6"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","4","5"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","5","3"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","6","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","7","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","8","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","9","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","Covid impacted","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","Total exam entries","48"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","U","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Design & Technology","X","3"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","1","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","2","12"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","3","3"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","4","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","5","3"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","6","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","7","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","8","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","9","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","Covid impacted","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","Total exam entries","24"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","U","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Drama","X","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","1","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","2","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","3","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","4","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","5","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","6","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","7","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","8","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","9","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","Covid impacted","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","Total exam entries","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","U","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Economics","X","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","1","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","2","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","3","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","4","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","5","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","6","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","7","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","8","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","9","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","Covid impacted","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","Total exam entries","3831"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","U","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English & mathematics","X","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","1","668"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","2","959"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","3","926"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","4","305"
