time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,version,education_investment_area_flag,priority_area_flag,establishment_type,breakdown,gender,ethnicity_major,ethnicity_minor,free_school_meals,sen_status,sen_description,disadvantage,first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Disadvantage,Boys,Total,Total,Total,Total,Total,Disadvantaged,Total,16,404,13576.75,33.6,355,87.9,109,27,169,41.8,123,30.4,20,5,42,10.4,1205.29,2.98,367,-218.902,-0.6,-0.74,-0.45
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Disadvantage,Boys,Total,Total,Total,Total,Total,Disadvantaged all other,Total,16,727,34763,47.8,698,96,370,50.9,496,68.2,351,48.3,128,17.6,185,25.4,3151.57,4.34,649,130.332,0.2,0.09,0.31
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),First language,Boys,Total,Total,Total,Total,Total,Total,English,16,763,32580.5,42.7,709,92.9,323,42.3,449,58.8,303,39.7,94,12.3,147,19.3,2904.41,3.81,726,-134.214,-0.18,-0.29,-0.08
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),First language,Boys,Total,Total,Total,Total,Total,Total,Other than English,15,361,15478,42.9,337,93.4,153,42.4,211,58.4,167,46.3,53,14.7,78,21.6,1425.96,3.95,284,50.11,0.18,0.01,0.34
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Total,Boys,Total,Total,Total,Total,Total,Total,Total,16,1131,48339.75,42.7,1053,93.1,479,42.4,665,58.8,474,41.9,148,13.1,227,20.1,4356.86,3.85,1016,-88.57,-0.09,-0.17,0
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity major,Boys,Unclassified,Total,Total,Total,Total,Total,Total,12,35,1321.25,37.8,32,91.4,10,28.6,18,51.4,21,60,2,5.7,7,20,124.64,3.56,30,-13.006,-0.43,-0.94,0.07
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,Unclassified,Unclassified,Total,Total,Total,Total,Total,12,35,1321.25,37.8,32,91.4,10,28.6,18,51.4,21,60,2,5.7,7,20,124.64,3.56,30,-13.006,-0.43,-0.94,0.07
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,White,Any other white background,Total,Total,Total,Total,Total,14,123,5523,44.9,118,95.9,57,46.3,76,61.8,59,48,24,19.5,32,26,507.37,4.12,96,35.936,0.37,0.09,0.66
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,White,Gypsy/Roma,Total,Total,Total,Total,Total,1,1,4,4,1,100,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity major,Boys,White,Total,Total,Total,Total,Total,Total,16,329,14916.75,45.3,305,92.7,160,48.6,205,62.3,135,41,62,18.8,84,25.5,1356.18,4.12,299,16.485,0.06,-0.11,0.22
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,White,White British,Total,Total,Total,Total,Total,16,201,9156.75,45.6,182,90.5,100,49.8,125,62.2,74,36.8,37,18.4,50,24.9,827.14,4.12,199,-20.285,-0.1,-0.3,0.09
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,White,White Irish,Total,Total,Total,Total,Total,4,4,233,58.3,4,100,3,75,4,100,2,50,1,25,2,50,21.34,5.34,4,0.834,0.21,-1.18,1.59
