time_period,time_identifier,geographic_level,country_code,country_name,version,performance_tables_eligibility,trust_type,establishment_type,breakdown_topic,breakdown,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Sex,Girls,500,51037,2576365.17,50.5,50146,98.3,25493,50,35974,70.5,24343,47.7,11695,22.9,16279,31.9,226867.18,4.45,48688,10624.325,0.22,0.21,0.23
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Ethnicity,Asian,451,10321,586108.13,56.8,10237,99.2,6652,64.5,8177,79.2,6178,59.9,3278,31.8,4267,41.3,53355.96,5.17,9171,6556.91,0.71,0.69,0.74
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Ethnicity,Black,411,3961,199049.25,50.3,3923,99,2022,51,2783,70.3,2098,53,864,21.8,1259,31.8,17783.85,4.49,3457,1480.096,0.43,0.38,0.48
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Ethnicity,Mixed,508,5324,264343.5,49.7,5243,98.5,2633,49.5,3686,69.2,2492,46.8,1181,22.2,1638,30.8,23529.49,4.42,4983,638.344,0.13,0.09,0.17
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Ethnicity,Other,353,1397,67041.75,48,1335,95.6,671,48,898,64.3,740,53,319,22.8,442,31.6,6144.5,4.4,1060,719.717,0.68,0.59,0.76
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Ethnicity,Unclassified ethnicity,354,1839,85844.38,46.7,1796,97.7,836,45.5,1197,65.1,741,40.3,312,17,439,23.9,7591.93,4.13,1648,85.455,0.05,-0.02,0.12
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Ethnicity,White,514,78630,3706660.55,47.1,77126,98.1,36040,45.8,52834,67.2,31059,39.5,13241,16.8,19374,24.6,324588.94,4.13,76341,-1811.514,-0.02,-0.03,-0.01
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Ethnicity,Asian - Any other Asian background,358,1687,98959,58.7,1661,98.5,1180,69.9,1391,82.5,972,57.6,564,33.4,724,42.9,9028.49,5.35,1446,1228.17,0.85,0.78,0.92
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Ethnicity,Asian - Bangladeshi,208,1324,73968.5,55.9,1314,99.2,830,62.7,1054,79.6,903,68.2,405,30.6,566,42.7,6714.81,5.07,1249,933.346,0.75,0.67,0.83
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Ethnicity,Asian - Chinese,259,659,43569.5,66.1,655,99.4,527,80,592,89.8,448,68,321,48.7,367,55.7,4128.72,6.27,405,465.276,1.15,1.01,1.29
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Ethnicity,Asian - Indian,332,2765,174621.88,63.2,2758,99.7,2135,77.2,2445,88.4,1922,69.5,1217,44,1478,53.5,16178.57,5.85,2416,2402.098,0.99,0.94,1.05
