"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","gender","admission_type","religious_denomination","grade","number_achieving","percentage_achieving"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","D & T: Textiles Technology","Total","Total","Total","a to b","6","46"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","D & T: Textiles Technology","Girls","Total","Total","a to e","11","85"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","D & T: Textiles Technology","Total","Total","Total","a to e","11","85"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","D & T: Textiles Technology","Girls","Total","Total","Total pupil entries","13","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","D & T: Textiles Technology","Total","Total","Total","Total pupil entries","13","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Drama","Girls","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Drama","Total","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Drama","Girls","Total","Total","a to e","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Drama","Total","Total","Total","a to e","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Drama","Girls","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Drama","Total","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Economics","Boys","Total","Total","a to b","4","24"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Economics","Girls","Total","Total","a to b","4","57"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Economics","Total","Total","Total","a to b","8","33"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Economics","Boys","Total","Total","a to e","13","76"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Economics","Girls","Total","Total","a to e","6","86"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Economics","Total","Total","Total","a to e","19","79"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Economics","Boys","Total","Total","Total pupil entries","17","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Economics","Girls","Total","Total","Total pupil entries","7","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Economics","Total","Total","Total","Total pupil entries","24","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","English Language","Boys","Total","Total","a to b","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","English Language","Total","Total","Total","a to b","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","English Language","Boys","Total","Total","a to e","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","English Language","Total","Total","Total","a to e","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","English Language","Boys","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","English Language","Total","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Film Studies","Boys","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Film Studies","Girls","Total","Total","a to b","10","63"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Film Studies","Total","Total","Total","a to b","10","59"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Film Studies","Boys","Total","Total","a to e","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Film Studies","Girls","Total","Total","a to e","16","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Film Studies","Total","Total","Total","a to e","17","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Film Studies","Boys","Total","Total","Total pupil entries","1","z"
